Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
11:44:33  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL677          |null                |Turning             
11:44:35  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL677          |null                |Turning             
11:44:36  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL677          |null                |Turning             
11:44:38  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL677          |null                |Drilling            
11:44:39  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL677          |null                |Drilling            
11:44:41  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL677          |null                |Drilling            
11:44:42  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL677          |null                |Drilling            
11:44:43  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL677          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
11:44:44  |Occupied  |4s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:46  |Occupied  |3s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:47  |Occupied  |1s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:49  |Occupied  |0s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:50  |Idle      |-s       |Occupied  |5s       |Idle      |-s       |WID_DRL707          |Pickup              |null                
11:44:51  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_DRL707          |Pickup              |null                
11:44:53  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_DRL707          |Pickup              |null                
11:44:54  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_DRL707          |Pickup              |null                
11:44:56  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:57  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:58  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
11:44:59  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL707          |null                |Turning             
11:45:01  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL707          |null                |Turning             
11:45:02  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL707          |null                |Turning             
11:45:04  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL707          |null                |Turning             
11:45:05  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL707          |null                |Turning             
11:45:07  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL707          |null                |Turning             
11:45:08  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL707          |null                |Drilling            
11:45:09  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL707          |null                |Drilling            
11:45:11  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL707          |null                |Drilling            
11:45:12  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL707          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
